time [ms],value [mm]
0,0.15901129
5,0.15897794
10,0.15901058
15,0.15897694
20,0.15888813
25,0.15892020
30,0.15886646
35,0.15887800
40,0.15892890
45,0.15888912
50,0.15888043
55,0.15883125
60,0.15884208
65,0.15893517
70,0.15887601
75,0.15886902
80,0.15892120
85,0.15883723
90,0.15889611
95,0.15889440
100,0.15885434
105,0.15893446
110,0.15887772
115,0.15886746
120,0.15881186
125,0.15889012
130,0.15888399
135,0.15887045
140,0.15890466
145,0.15888784
150,0.15881941
155,0.15881557
160,0.15893560
165,0.15886346
170,0.15889582
175,0.15884279
180,0.15887344
185,0.15882369
190,0.15883695
195,0.15887045
200,0.15880958
205,0.15878192
210,0.15885862
215,0.15879618
220,0.15888684
225,0.15882754
230,0.15885562
235,0.15882512
240,0.15890409
245,0.15888100
250,0.15889055
255,0.15885505
260,0.15883381
265,0.15881941
270,0.15892334
275,0.15888328
280,0.15889540
285,0.15885006
290,0.15886418
295,0.15883595
300,0.15888157
305,0.15882341
310,0.15890865
315,0.15876809
320,0.15895598
325,0.15891749
330,0.15883025
335,0.15879475
340,0.15885263
345,0.15883196
350,0.15885106
355,0.15889582
360,0.15881214
365,0.15883923
370,0.15892305
375,0.15884008
380,0.15889126
385,0.15888157
390,0.15884322
395,0.15880986
400,0.15884835
405,0.15882298
410,0.15880487
415,0.15889155
420,0.15886902
425,0.15880559
430,0.15886974
435,0.15878991
440,0.15881385
445,0.15887729
450,0.15882512
455,0.15885334
460,0.15886689
465,0.15882512
470,0.15884935
475,0.15885748
480,0.15881842
485,0.15881157
490,0.15889012
495,0.15881913
500,0.15892120
505,0.15875826
510,0.15887102
515,0.15884180
520,0.15883652
525,0.15882825
530,0.15887316
535,0.15891450
540,0.15885890
545,0.15883795
550,0.15880587
555,0.15887829
560,0.15881528
565,0.15889967
570,0.15884279
575,0.15884251
580,0.15888257
585,0.15884008
590,0.15888285
595,0.15883167
600,0.15889226
605,0.15882611
610,0.15885862
615,0.15877864
620,0.15884479
625,0.15884778
630,0.15883624
635,0.15889055
640,0.15887601
645,0.15883196
650,0.15894030
655,0.15890595
660,0.15892148
665,0.15894215
670,0.15883823
675,0.15886418
680,0.15884008
685,0.15889868
690,0.15889611
695,0.15887900
700,0.15890338
705,0.15883524
710,0.15887972
715,0.15886788
720,0.15889283
725,0.15887102
730,0.15875013
735,0.15889083
740,0.15880658
745,0.15890595
750,0.15884080
755,0.15892847
760,0.15880074
765,0.15889183
770,0.15890723
775,0.15883723
